Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Anne Lestari,10024,Menikah,Pernah Menikah/Bercerai,P,Prohire,UX Designer,Junior,Fully meets,EDU,Arkademy ,09/21/90,Padang,04/04/2011,,N/A-StillEmployed,Active,CareerBuilder,2,2,3,0,27/02/2020,2,3
Anshory Muhammad,10025,Menikah,Widowed,P,Prohire,UX Writer,Junior,Special treatment,ENT,MyPertamina,01/16/67,Padang,10/01/2011,04/04/2016,career change,Voluntarily Terminated,Google Search,4 8,5,5,0,04/03/2015,0,5
Arief Luthfi,10026,Belum Menikah,Single,L,TKP/ Outsource,Artificial Intelligent,Junior,Exceed,IHX,Squad B,07/30/64,Cina,17/02/2014,19/02/2018,Learned that he is a gangster,Terminated for Cause,LinkedIn,3 5,4,5,7,10/01/2017,0,2
Arini Indah,10027,Menikah,Widowed,P,TKP/ Outsource,UI Designer,Junior,Average,EDU,Squad Service Core,04/04/1987,Sunda,16/02/2015,,N/A-StillEmployed,Active,Diversity Job Fair,5,5,4,3,18/02/2020,0,4
Arisalsabila Wahyu Bawono,10028,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Senior,Average,FIN,Bonum,03/10/1970,Padang,30/09/2013,07/08/2016,retiring,Voluntarily Terminated,Indeed,3 39,3,3,0,20/02/2015,0,14
Arsya Shafira Firstri,10029,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Middle,Exceed,ENT,MyPertamina,08/24/90,Padang,02/04/2012,15/06/2015,Another position,Voluntarily Terminated,Google Search,3 35,3,4,0,04/03/2014,0,6
Arwani,10030,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Junior,Exceed,EDU,Squad Service Core,11/24/87,Bali,27/10/2008,,N/A-StillEmployed,Active,Diversity Job Fair,4 5,5,2,6,15/01/2020,0,14
Asep Yuhana,10031,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Exceed,FIN,Bonum,07/28/83,Padang,29/09/2014,,N/A-StillEmployed,Active,Google Search,3 19,3,3,0,01/02/2020,0,9
Asfah Faela Shufa,10032,Menikah,Married,P,TKP/ Outsource,Front End Developer,Senior,Average,EWD,Sales Cycle,10/30/69,Cina,11/11/2013,,N/A-StillEmployed,Active,Diversity Job Fair,3 5,4,5,0,21/01/2020,0,17
Astria Karismawati,10033,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Middle,Fully meets,EWD,RPA & Profitability,06/01/1964,Cina,15/08/2011,02/08/2016,Another position,Voluntarily Terminated,Google Search,3 14,3,5,0,10/02/2014,1,19
Astrid Noviasari Suprapto,10034,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Senior,Fully meets,IHX,Squad C,03/02/1980,Bali,05/03/2012,,N/A-StillEmployed,Active,Employee Referral,4 51,5,4,0,21/02/2020,0,3
Aulia Eka Fitriani,10035,Menikah,Married,L,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,ENT,MyPertamina,08/19/77,Sunda,04/04/2011,,N/A-StillEmployed,Active,Indeed,3 25,3,5,0,14/01/2020,0,15
Aura Camellia Ludica,10036,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Need improvement,FIN,Platform,11/22/66,Cina,15/08/2011,,N/A-StillEmployed,Active,Google Search,3 84,4,3,5,21/01/2020,0,4
Aviall Anggraina,10037,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Fully meets,HLT,PeduliLindungi,08/09/1983,Jawa,28/01/2016,,N/A-StillEmployed,Active,Indeed,5,5,3,0,22/02/2020,0,14
Ayu Bintang Nurrachma Gunawan,10038,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Middle,Need improvement,HLT,PeduliLindungi,04/05/1987,Padang,11/11/2013,,N/A-StillEmployed,Active,Indeed,4 96,5,4,6,30/01/2020,0,3
Ayu Prihatini Novianingrum Romadani,10039,Menikah,Pernah Menikah/Bercerai,L,Prohire,Front End Developer,Junior,Fully meets,IHX,Lead/Reviewer/Maintener,02/02/1983,Bali,31/03/2014,,N/A-StillEmployed,Active,LinkedIn,4 43,4,3,0,01/02/2020,0,14
Bagus,10040,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Fully meets,IHX,Squad B,06/06/1986,Sunda,30/06/2016,,N/A-StillEmployed,Active,LinkedIn,5,5,5,6,18/02/2020,0,7
Bagus Indra Febrianto,10041,Belum Menikah,Single,P,Prohire,Mobile Developer Android,Junior,Special treatment,IHX,Squad D,05/15/63,Padang,18/08/2014,,N/A-StillEmployed,Active,Indeed,5,5,5,0,21/01/2020,0,7
Bagus Tri Harjanto,10042,Menikah,Married,P,TKP/ Outsource,Back End Developer,Middle,Fully meets,EWD,Explore,01/02/1951,Bali,29/09/2014,,N/A-StillEmployed,Active,Google Search,5,5,4,0,12/02/2020,0,11
Bayu Aji Kurniawan,10043,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Average,FIN,Inpoin,02/09/1972,Cina,06/09/2016,,N/A-StillEmployed,Active,Indeed,4 5,5,5,7,15/01/2020,0,8
Bayu Anugrah,10044,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Junior,Average,EWD,AM Performance,02/12/1979,Bali,12/05/2014,,N/A-StillEmployed,Active,Indeed,3 3,3,4,0,19/02/2020,0,11
Bayusandya Tresnayatna,10045,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Senior,Need improvement,ENT,MyPertamina,08/24/83,Padang,08/07/2013,,N/A-StillEmployed,Active,LinkedIn,3 8,4,5,0,14/01/2020,0,4
Brilliant Djaka Irfanudin Rofiq,10046,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Exceed,FIN,Inpoin,06/11/1970,Bali,14/05/2012,,N/A-StillEmployed,Active,Employee Referral,3,3,5,0,19/01/2020,0,17
Burhanudin Ramdhani,10047,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Average,FIN,Bonum,08/27/83,Jawa,27/06/2011,15/11/2017,relocation out of area,Voluntarily Terminated,Indeed,4 3,4,4,0,10/03/2016,0,3
Calvinza Herman,10048,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Average,LGT,Logee Truck Web,05/31/88,Sunda,03/10/2011,,N/A-StillEmployed,Active,Indeed,3 58,4,5,0,30/01/2020,0,3
Chika Mareyza Anjani,10049,Menikah,Married,L,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Control Tower,09/05/1985,Padang,05/09/2012,,N/A-StillEmployed,Active,Indeed,4 7,5,3,6,27/02/2020,0,2
Christi Yanti Pardede,10050,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Pijar Corpu,08/31/81,Bali,16/05/2011,07/01/2015,unhappy,Voluntarily Terminated,Google Search,4 2,4,5,0,03/05/2013,0,9
Christian S. X. Kembuan,10051,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Back End Developer,Senior,Average,COM,ChatAja,11/25/78,Sunda,30/08/2010,26/09/2013,career change,Voluntarily Terminated,Indeed,4 2,4,4,0,04/05/2012,0,6
Cipta Pakarti Puji Akasyah,10052,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Mobile Developer Android,Senior,Special treatment,FIN,MPS,08/26/80,Bali,06/07/2016,,N/A-StillEmployed,Active,Employee Referral,4 1,4,4,0,28/02/2020,0,5
Claudia Cahya P,10053,Menikah,Widowed,L,TKP/ Outsource,System Documentation,Junior,Need improvement,LGT,Logee Truck All Product,09/08/1977,Padang,08/07/2013,,N/A-StillEmployed,Active,Employee Referral,4 4,4,5,0,14/01/2020,0,3
Darin Afaf Rafinda,10054,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Junior,Fully meets,VGA,Ads Based,08/12/1979,Jawa,11/07/2011,23/09/2018,performance,Terminated for Cause,LinkedIn,2,2,3,0,01/05/2017,5,16
David Suryana Adie,10055,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Need improvement,VGA,IndiBOX Apps,12/17/75,Sunda,20/07/2010,,N/A-StillEmployed,Active,CareerBuilder,4 13,4,2,0,14/01/2020,3,3
Debby Safira,10056,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Junior,Exceed,IHL,IndiHome Smart,03/19/83,Jawa,05/01/2009,,N/A-StillEmployed,Active,Indeed,3 7,4,5,0,04/02/2020,0,15
Deddy Nur Hidayat,10057,Menikah,Married,P,TKP/ Outsource,Front End Developer,Senior,Fully meets,IHL,IndiHome Study,03/31/77,Jawa,05/01/2015,,N/A-StillEmployed,Active,Indeed,4 73,5,5,0,14/02/2020,0,6
Delicia Generis Humani,10058,Menikah,Married,L,TKP/ Outsource,Front End Developer,Junior,Exceed,FIN,Platform,08/26/86,Cina,30/03/2015,,N/A-StillEmployed,Active,Indeed,3 04,3,3,6,22/01/2020,0,2
Denandra Prasetya Laksma Putra,10059,Menikah,Married,P,TKP/ Outsource,Front End Developer,Senior,Average,FIN,Platform,04/10/1987,Bali,06/07/2016,,N/A-StillEmployed,Active,LinkedIn,4 12,4,5,0,28/01/2020,0,15
Dendy Ramdhan Fauzy,10060,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Need improvement,IHX,Squad B,09/09/1965,Padang,10/11/2014,,N/A-StillEmployed,Active,Employee Referral,5,5,3,4,02/01/2020,0,5
Devi,10061,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Exceed,IHX,Squad C,04/19/90,Bali,05/05/2014,,N/A-StillEmployed,Active,Indeed,4 62,5,4,0,24/01/2020,0,8
Dewi Hapsari,10062,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Front End Developer,Senior,Exceed,EWD,Refactoring New IA,01/18/52,Cina,10/11/2014,,N/A-StillEmployed,Active,LinkedIn,3 1,3,5,8,12/02/2020,0,19
Dewi Rahayu,10063,Menikah,Widowed,P,Prohire,Mobile Developer Android,Senior,Need improvement,VGA,Ads Based,11/05/1978,Sunda,02/07/2012,,N/A-StillEmployed,Active,Indeed,5,5,3,0,25/02/2020,0,1
Dhieo Deva Alavanta,10064,Menikah,Widowed,L,TKP/ Outsource,Mobile Developer Android,Junior,Special treatment,VGA,IndiBOX Apps,09/14/79,Cina,07/11/2011,,N/A-StillEmployed,Active,LinkedIn,3 96,4,4,0,27/02/2020,0,6
Dian Putri Paramitha Rais,10065,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Exceed,ENT,MyPertamina,04/15/88,Bali,09/07/2018,,N/A-StillEmployed,Active,Indeed,4 3,4,4,3,31/01/2020,2,2
Difa Al,10066,Menikah,Married,L,TKP/ Outsource,Mobile Developer Android,Junior,Need improvement,EDU,Squad Service Core,10/31/77,Cina,16/05/2011,08/06/2018,unhappy,Voluntarily Terminated,Indeed,5,5,4,0,02/04/2017,0,14
Dimas Bayu Suseno,10067,Belum Menikah,Single,P,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,COM,ChatAja,07/05/1979,Jawa,09/01/2012,,N/A-StillEmployed,Active,CareerBuilder,3 79,4,5,5,25/01/2020,0,8
Dimas Pratama,10068,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer iOS,Middle,Fully meets,COM,ChatAja,11/02/1975,Sunda,29/09/2014,,N/A-StillEmployed,Active,Indeed,1 93,2,3,0,30/01/2020,6,5
Dini Agustini Fajri,10069,Menikah,Married,P,TKP/ Outsource,Back End Developer,Middle,Exceed,VGA,Ads Based,02/25/51,Sunda,04/04/2011,04/11/2017,more money,Voluntarily Terminated,Google Search,4 62,5,5,0,06/05/2016,0,1
Dwi Erviana,10070,Menikah,Widowed,L,TKP/ Outsource,Back End Developer,Junior,Average,IHL,IndiHome Smart,04/19/67,Bali,07/07/2014,,N/A-StillEmployed,Active,Indeed,1 12,1,2,0,31/01/2020,4,9
Dyva Agna Fauzan,10071,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Front End Developer,Junior,Exceed,EDU,Squad Pijar Corpu,09/04/1983,Cina,15/02/2017,,N/A-StillEmployed,Active,Indeed,3 01,3,5,7,23/01/2020,0,15
Egi Chandra Legita,10072,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Delivery & Project Mgt,11/15/82,Cina,12/05/2014,,N/A-StillEmployed,Active,Indeed,4 3,4,4,0,19/02/2020,0,1
Egy Haekal Achmad,10073,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Middle,Special treatment,ENT,NETMONK,05/14/87,Cina,20/02/2012,,N/A-StillEmployed,Active,Website,2 3,2,1,0,29/01/2020,2,17
Eka Risyana Pribadi,10074,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Middle,Average,EWD,Evaluate,12/02/1978,Bali,07/01/2013,,N/A-StillEmployed,Active,Indeed,3 88,4,4,0,18/01/2020,0,6
Eki Mandjasari,10075,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Pay,10/07/1986,Jawa,02/04/2012,,N/A-StillEmployed,Active,CareerBuilder,3 4,3,5,0,19/02/2020,0,15
Eki Rizki Pratama Putra,10076,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,DevOps Engineer,Junior,Special treatment,EWD,Payment - SSOF,07/18/88,Jawa,05/01/2015,,N/A-StillEmployed,Active,Employee Referral,4 11,4,4,6,25/02/2020,0,16
Enny,10077,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Average,EDU,Squad Pijar Corpu,07/09/1970,Bali,05/01/2014,,N/A-StillEmployed,Active,Indeed,4 3,4,5,5,04/01/2020,0,4
Erdin Suharyadi,10078,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Average,EDU,Squad Pijar Sekolah,11/08/1988,Padang,10/01/2011,,N/A-StillEmployed,Active,Indeed,4 77,5,5,0,27/01/2020,0,14
Ester Vanessa,10079,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Fully meets,COM,UMEETME,11/28/73,Cina,18/09/2014,,N/A-StillEmployed,Active,Google Search,4 52,5,4,0,15/01/2020,0,4
Estha Triani Juansah,10080,Menikah,Widowed,P,TKP/ Outsource,System Documentation,Junior,Exceed,COM,ChatAja,09/23/73,Bali,26/04/2010,,N/A-StillEmployed,Active,Google Search,2 9,3,3,0,21/01/2020,0,6
Evi Sitorus,10081,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Junior,Average,EWD,Product & Content Management System,09/05/1991,Cina,04/04/2011,06/06/2019,military,Voluntarily Terminated,Google Search,5,5,3,0,09/04/2018,0,7
Fadilla Nur Elminasari,10082,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Middle,Special treatment,ENT,MyPertamina,05/31/74,Jawa,10/11/2014,,N/A-StillEmployed,Active,LinkedIn,4 7,5,5,0,13/02/2020,0,8
Fahmi Alhafid,10083,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Average,COM,UMEETME,08/25/78,Sunda,31/03/2014,,N/A-StillEmployed,Active,Employee Referral,4 2,4,3,0,11/01/2020,0,3
Fairuzh Shalma N,10084,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Average,COM,Vutura,08/25/89,Cina,07/07/2014,,N/A-StillEmployed,Active,Indeed,3,3,1,0,25/02/2020,2,5
Faisal Fahlevi,10085,Belum Menikah,Single,L,Prohire,Front End Developer,Senior,Need improvement,IHX,Squad D,09/02/1983,Padang,02/04/2012,27/09/2020,attendance,Terminated for Cause,Google Search,5,5,4,0,12/04/2019,5,16
Faishal Mahdy Nail,10086,Belum Menikah,Single,P,Prohire,Back End Developer,Senior,Average,COM,Vutura,05/06/1989,Jawa,17/02/2014,25/02/2020,no-call  no-show,Terminated for Cause,Google Search,2 3,2,3,0,15/01/2018,5,19
Fajar Lesmana,10087,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Average,VGA,IndiBOX Apps,05/15/87,Bali,02/05/2011,05/06/2015,attendance,Terminated for Cause,Indeed,2 1,2,5,4,10/08/2013,4,19
Fakhri Ridho Dhiyamatra,10088,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Service Core,09/22/78,Cina,07/07/2014,,N/A-StillEmployed,Active,LinkedIn,4 4,4,5,0,22/02/2020,0,17
Fany Amalia,10089,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Senior,Need improvement,COM,Vutura,09/27/87,Cina,17/02/2014,,N/A-StillEmployed,Active,LinkedIn,4,4,4,0,07/01/2020,0,7
Faraz Ayudia A,10090,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Middle,Exceed,EWD,RPA & Profitability,04/14/55,Jawa,07/11/2011,17/05/2018,military,Voluntarily Terminated,Google Search,3 13,3,3,0,04/02/2017,0,16
Fauza Alfisyahrin,10091,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer Android,Middle,Need improvement,IHX,Squad B,10/18/89,Jawa,11/05/2015,,N/A-StillEmployed,Active,Indeed,1 56,2,5,0,03/01/2020,6,15
Fauzan Indra,10092,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,IHX,Squad D,06/18/87,Padang,30/03/2015,,N/A-StillEmployed,Active,LinkedIn,1 2,1,3,6,04/02/2020,3,2
Fauzi Radian Hantoro,10093,Menikah,Widowed,P,TKP/ Outsource,Mobile Developer Android,Junior,Average,EWD,Data & Dashboard Analytics,03/16/81,Padang,09/01/2012,,N/A-StillEmployed,Active,Google Search,5,5,5,0,29/01/2020,0,19
Fauzi Zaki Ma'ruf,10094,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer Android,Middle,Fully meets,EWD,Explore,10/01/1981,Sunda,16/05/2011,24/06/2015,hours,Voluntarily Terminated,Google Search,4 76,5,5,0,05/04/2014,0,20
Febby Wijaya,10095,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Need improvement,ENT,NETMONK,11/08/1983,Padang,04/04/2011,09/01/2015,career change,Voluntarily Terminated,Google Search,3 66,4,3,0,07/01/2013,0,6
Ferli,10096,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Average,EWD,RPA & Profitability,07/07/1975,Sunda,29/09/2014,19/08/2020,Fatal attraction,Terminated for Cause,Employee Referral,2,2,5,0,28/01/2020,4,7
Fikri Akbar,10097,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Explore,07/05/1980,Sunda,15/04/2011,,N/A-StillEmployed,Active,Indeed,5,5,5,5,07/01/2020,0,15
Fikri Auliya Rahman,10098,Menikah,Married,P,TKP/ Outsource,Front End Developer,Senior,Fully meets,COM,ChatAja,04/16/79,Padang,05/01/2009,,N/A-StillEmployed,Active,Other,5,5,3,2,08/02/2020,0,3
Fransky,10099,Belum Menikah,Single,L,TKP/ Outsource,System Documentation,Junior,Average,FIN,MPS,08/28/63,Cina,06/09/2011,,N/A-StillEmployed,Active,CareerBuilder,4 3,4,3,0,27/01/2020,2,7
Freza Nugraha,10100,Belum Menikah,Single,P,Prohire,System Documentation,Junior,Exceed,FIN,Inpoin,07/06/1968,Padang,01/05/2010,,N/A-StillEmployed,Active,LinkedIn,4 7,5,4,5,01/02/2020,0,1
Gabe Rizky Putra,10101,Menikah,Pernah Menikah/Bercerai,L,Prohire,Back End Developer,Middle,Need improvement,COM,ChatAja,09/15/85,Bali,30/03/2015,,N/A-StillEmployed,Active,Employee Referral,4 5,5,3,0,18/02/2020,0,5
Gana,10102,Menikah,Married,P,Prohire,Back End Developer,Junior,Fully meets,ENT,Intermoda,12/02/1983,Cina,16/05/2011,,N/A-StillEmployed,Active,LinkedIn,4 2,4,4,0,26/02/2020,0,12
Gema Saputera,10103,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Fully meets,COM,ChatAja,10/01/1990,Jawa,30/03/2015,,N/A-StillEmployed,Active,LinkedIn,3 73,4,3,0,16/01/2020,0,19
Gerald Ghibran Gunasha,10104,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Special treatment,FIN,GTM,05/15/70,Jawa,07/11/2011,15/11/2018,hours,Voluntarily Terminated,Diversity Job Fair,4 24,4,4,0,29/04/2017,0,2
Geraldy Martin Pangabean,10105,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Fully meets,EWD,Active & Install,07/10/1971,Sunda,07/07/2014,05/09/2017,attendance,Terminated for Cause,CareerBuilder,3 97,4,4,0,15/01/2015,0,7
Gilang Ramadhan,10106,Menikah,Widowed,L,TKP/ Outsource,Front End Developer,Junior,Fully meets,EWD,Evaluate,08/09/1974,Cina,02/04/2012,25/06/2017,military,Voluntarily Terminated,Diversity Job Fair,3 97,4,4,0,20/01/2016,3,15
Gilbi,10107,Menikah,Widowed,P,Prohire,Back End Developer,Junior,Special treatment,EWD,Explore,05/08/1980,Bali,29/09/2014,,N/A-StillEmployed,Active,Indeed,3 9,4,4,0,07/02/2020,0,3
Giska Adilah Sharfina Saputra,10108,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Junior,Fully meets,EWD,Get Support & Terminated,09/22/89,Padang,16/02/2015,,N/A-StillEmployed,Active,Indeed,4 5,5,5,0,25/01/2020,0,20
